,supply,return
2018-01-10T11:30:00Z,"100.803429,","95.94411,"
2018-01-10T12:00:00Z,"151.287842,","96.66333,"
2018-01-10T12:30:00Z,"142.627853,","125.040207,"
2018-01-10T13:00:00Z,"143.837646,","121.416153,"
2018-01-10T13:30:00Z,"138.6468,","121.491661,"
2018-01-10T14:00:00Z,"137.825455,","121.690361,"
2018-01-10T14:30:00Z,"108.991959,","98.44031,"
2018-01-10T15:00:00Z,"106.059517,","98.65311,"
2018-01-10T15:30:00Z,"114.288971,","99.8068848,"
2018-01-10T16:00:00Z,"99.87443,","96.26901,"
2018-01-10T16:30:00Z,"102.27829,","96.49035,"
2018-01-10T17:00:00Z,"96.02821,","93.53137,"
2018-01-10T17:30:00Z,"105.562424,","93.2107849,"
2018-01-10T18:00:00Z,"93.4012756,","89.29036,"
2018-01-10T18:30:00Z,"90.04632,","87.57516,"
2018-01-10T19:00:00Z,"97.406395,","89.0388947,"
2018-01-10T19:30:00Z,"94.56685,","88.23903,"
2018-01-10T20:00:00Z,"89.585434,","86.8547745,"
2018-01-10T20:30:00Z,"92.90545,","89.24728,"
2018-01-10T21:00:00Z,"100.146706,","88.68548,"
2018-01-10T21:30:00Z,"92.7536,","85.61478,"
2018-01-10T22:00:00Z,"91.28767,","87.8215942,"
2018-01-10T22:30:00Z,"85.83643,","83.74361,"
2018-01-10T23:00:00Z,"102.768929,","89.25457,"
2018-01-10T23:30:00Z,"90.86127,","89.15715,"
2018-01-11T00:00:00Z,"96.76372,","89.0887451,"
2018-01-11T00:30:00Z,"96.7075043,","89.17536,"
2018-01-11T01:00:00Z,"92.12714,","89.44875,"
2018-01-11T01:30:00Z,"89.45513,","84.7903442,"
2018-01-11T02:00:00Z,"86.76288,","84.04343,"
2018-01-11T02:30:00Z,"95.92958,","87.4256439,"
2018-01-11T03:00:00Z,"89.53154,","86.14754,"
2018-01-11T03:30:00Z,"90.0693,","86.53306,"
