DT,HDD,CDD
2018-01-12T09:30:00Z,"2.130339,",0
2018-01-12T10:00:00Z,"2.04328179,",0
2018-01-12T10:30:00Z,"2.130604,",0
2018-01-12T11:00:00Z,"2.12873387,",0
2018-01-12T11:30:00Z,"2.043598,",0
2018-01-12T12:00:00Z,"2.15248513,",0
2018-01-12T12:30:00Z,"1.896946,",0
2018-01-12T13:00:00Z,"1.889543,",0
2018-01-12T13:30:00Z,"1.97807622,",0
2018-01-12T14:00:00Z,"2.06574583,",0
2018-01-12T14:30:00Z,"1.97756124,",0
2018-01-12T15:00:00Z,"2.055618,",0
2018-01-12T15:30:00Z,"1.98057508,",0
2018-01-12T16:00:00Z,"1.9763484,",0
2018-01-12T16:30:00Z,"1.89006364,",0
2018-01-12T17:00:00Z,"1.80277562,",0
2018-01-12T17:30:00Z,"1.71933341,",0
2018-01-12T18:00:00Z,"1.86315024,",0
2018-01-12T18:30:00Z,"1.77651632,",0
2018-01-12T19:00:00Z,"1.9605813,",0
2018-01-12T19:30:00Z,"2.04678035,",0
2018-01-12T20:00:00Z,"62.62166,",0
2018-01-12T20:30:00Z,"10.4745808,",0
2018-01-12T21:00:00Z,"26.9958286,",0
2018-01-12T21:30:00Z,"27.8114433,",0
2018-01-12T22:00:00Z,"26.6969662,",0
2018-01-12T22:30:00Z,"27.8485737,",0
2018-01-12T23:00:00Z,"29.5656853,",0
